iter	RMSE
0	0.4064563183
1	0.3959219912
2	0.3810196421
3	0.3650768753
4	0.3536902399
5	0.3406632736
6	0.3266209349
7	0.3163616641
8	0.3052915999
9	0.2956656664
10	0.2837253265
11	0.2767151108
12	0.2668619911
13	0.2593361555
14	0.2514323102
15	0.2439061973
16	0.2379877551
17	0.2294211619
18	0.2214783835
19	0.2141625604
20	0.2061201756
21	0.1985964455
22	0.192156506
23	0.1860402756
24	0.1809690524
25	0.1755290617
26	0.169483712
27	0.1647196972
28	0.1592658364
29	0.1544902888
30	0.1502562374
31	0.1457616603
32	0.1413892943
33	0.1376737049
34	0.134318028
35	0.1309204567
36	0.1282304969
37	0.124929115
38	0.1217119021
39	0.1186998894
40	0.1160197516
41	0.1137159297
42	0.1114610531
43	0.1089887126
44	0.1068883203
45	0.1045452955
46	0.1026310743
47	0.1008307815
48	0.09900499319
49	0.09726620766
50	0.09575322492
51	0.09420648867
52	0.09244542258
53	0.09089658665
54	0.08920542718
55	0.08738631688
56	0.08566195586
57	0.08421435474
58	0.0825716811
59	0.08100998928
60	0.07938705288
61	0.07791035216
62	0.07647391012
63	0.07513619078
64	0.07395812821
65	0.07311961248
66	0.0719167183
67	0.0707480735
68	0.07005140416
69	0.0692234835
70	0.06815996397
71	0.06705797566
72	0.06585705277
73	0.06482047331
74	0.06374127941
75	0.06302093212
76	0.06197416192
77	0.06128399714
78	0.06029589907
79	0.05969479473
80	0.05925795022
81	0.05838129553
82	0.05751230748
83	0.05684550764
84	0.05596656358
85	0.05532121898
86	0.05454479828
87	0.05368793537
88	0.05292359086
89	0.05212734608
90	0.05157972453
91	0.05086791843
92	0.05058965867
93	0.04989981973
94	0.04918938417
95	0.04854368217
96	0.0483122339
97	0.04776090098
98	0.04720781145
99	0.04651897199
