iter	Passed	Remaining
0	1	142
1	2	132
2	3	107
3	4	107
4	5	107
5	6	109
6	8	108
7	8	100
8	10	101
9	10	95
10	11	92
11	12	92
12	13	87
13	13	84
14	14	80
15	15	80
16	16	81
17	17	81
18	19	82
19	20	82
20	21	81
21	23	81
22	24	81
23	25	80
24	26	78
25	27	77
26	28	76
27	29	75
28	30	74
29	31	74
30	33	73
31	33	71
32	34	70
33	35	68
34	36	67
35	37	66
36	38	66
37	40	65
38	41	64
39	42	63
40	43	62
41	44	61
42	45	59
43	45	58
44	46	57
45	48	56
46	49	55
47	50	54
48	51	53
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	59	48
55	60	47
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	72	38
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	94	19
83	95	18
84	96	17
85	97	15
86	99	14
87	100	13
88	101	12
89	102	11
90	104	10
91	105	9
92	106	8
93	107	6
94	108	5
95	110	4
96	111	3
97	112	2
98	114	1
99	115	0
